[#| 2020-10-14 22:19:48.582 | INFO | WCFService | Хост стартован... |#]
[#| 2020-10-14 22:20:23.015 | INFO | WCFService | Хост стартован... |#]
[#| 2020-10-14 22:20:25.233 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:25.234 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:25.234 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:25.250 | INFO | WCFService | Ядро стартовано... |#]
[#| 2020-10-14 22:20:25.240 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:25.275 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,2Гб (49,7%) |#]
[#| 2020-10-14 22:20:25.325 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:25.350 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:25.390 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:25.395 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:25.513 | TRACE | Core-LanDevice | Сетевое устройство 192.168.0.102:1800 включено |#]
[#| 2020-10-14 22:20:25.556 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 89,0% |#]
[#| 2020-10-14 22:20:25.578 | TRACE | Core-LanDevice | Сетевое устройство 192.168.0.102:1800 включено |#]
[#| 2020-10-14 22:20:25.588 | TRACE | Core-LanDevice | Сетевое устройство 192.168.0.102:1800 включено |#]
[#| 2020-10-14 22:20:25.672 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 2,0% |#]
[#| 2020-10-14 22:20:25.686 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 2,0% |#]
[#| 2020-10-14 22:20:25.847 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:25.851 | INFO | Core-LanMonitor | Сервис 192.168.0.102:1800 изменил состояние на Connect |#]
[#| 2020-10-14 22:20:25.887 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:25.890 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:25.887 | INFO | Core-LanMonitor | Сервис 192.168.0.102:1800 изменил состояние на Connect |#]
[#| 2020-10-14 22:20:25.890 | INFO | Core-LanMonitor | Сервис 192.168.0.102:1800 изменил состояние на Connect |#]
[#| 2020-10-14 22:20:26.557 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:26.558 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:26.586 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,2Гб (50,1%) |#]
[#| 2020-10-14 22:20:26.672 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:26.686 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:26.721 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:26.758 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:26.900 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 45,0% |#]
[#| 2020-10-14 22:20:27.005 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:27.044 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 7,0% |#]
[#| 2020-10-14 22:20:27.044 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:27.339 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 0,0% |#]
[#| 2020-10-14 22:20:27.648 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:27.687 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:27.690 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:27.900 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:27.902 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:27.933 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,3Гб (50,2%) |#]
[#| 2020-10-14 22:20:28.044 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:28.085 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:28.125 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:28.231 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 14,0% |#]
[#| 2020-10-14 22:20:28.340 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
